"year","date","doy","temp","temp3","country"
2020,2020-01-01,1,6.028518552,6.83567903466667,"Canada"
2020,2020-01-02,2,6.381471172,7.057647448,"Canada"
2020,2020-01-03,3,6.0881010465,6.788734031,"Canada"
2020,2020-01-04,4,5.9615361715,6.73102411433333,"Canada"
2020,2020-01-05,5,6.167024604,6.931349736,"Canada"
2020,2020-01-06,6,6.137694865,6.94846324333333,"Canada"
2020,2020-01-07,7,6.2581418125,7.045427875,"Canada"
2020,2020-01-08,8,6.4024116255,7.07160775033333,"Canada"
2020,2020-01-09,9,6.367525026,6.925016684,"Canada"
2020,2020-01-10,10,6.202986797,6.72865786466667,"Canada"
2020,2020-01-11,11,5.9686719425,6.51244796166667,"Canada"
2020,2020-01-12,12,5.77523225,6.33348816666667,"Canada"
2020,2020-01-13,13,6.23365749,6.68910499333333,"Canada"
2020,2020-01-14,14,6.2069535785,6.57130238566667,"Canada"
2020,2020-01-15,15,6.1771919325,6.54146128833333,"Canada"
2020,2020-01-16,16,6.3320884375,6.724725625,"Canada"
2020,2020-01-17,17,6.461832927,6.84122195133333,"Canada"
2020,2020-01-18,18,6.9535276355,7.17901842366667,"Canada"
2020,2020-01-19,19,6.83265088,7.10843392,"Canada"
2020,2020-01-20,20,6.8788674845,7.052578323,"Canada"
2020,2020-01-21,21,6.6870413905,6.861360927,"Canada"
2020,2020-01-22,22,6.3159890885,6.53065939233333,"Canada"
2020,2020-01-23,23,4.8497744585,5.15651630566667,"Canada"
2020,2020-01-24,24,3.160667699,3.34711179933333,"Canada"
2020,2020-01-25,25,2.316313381,2.13087558733333,"Canada"
2020,2020-01-26,26,2.41264885,2.48843256666667,"Canada"
2020,2020-01-27,27,2.7099446055,3.80996307033333,"Canada"
2020,2020-01-28,28,3.025115988,4.38007732533333,"Canada"
2020,2020-01-29,29,3.2402109385,4.693473959,"Canada"
2020,2020-01-30,30,3.276604594,4.69106972933333,"Canada"
2020,2020-01-31,31,3.098581359,4.53905423933333,"Canada"
2020,2020-02-01,32,3.129417292,4.56294486133333,"Canada"
2020,2020-02-02,33,3.214426703,4.40295113533333,"Canada"
2020,2020-02-03,34,3.2502017555,4.233467837,"Canada"
2020,2020-02-04,35,3.2479204585,4.18528030566667,"Canada"
2020,2020-02-05,36,3.2544224425,4.23628162833333,"Canada"
2020,2020-02-06,37,3.152882854,4.27192190266667,"Canada"
2020,2020-02-07,38,3.21739212,4.37159474666667,"Canada"
2020,2020-02-08,39,3.3700355675,4.50669037833333,"Canada"
2020,2020-02-09,40,3.458988641,4.592659094,"Canada"
2020,2020-02-10,41,3.5086019,4.6757346,"Canada"
2020,2020-02-11,42,3.552239806,4.66482653733333,"Canada"
